location,BHK,total_sqft,bath,price
Mundhawa,1,770,1,43.82
Nagar Road,2,1066,2,55
Nana Peth,1,635,1,28
Narayan Peth,2,1015,2,45
Narayangaon,2,1175,2,54.05
Navi Peth,4,1200,4,130
Padmavati,2,1188,2,50
Pashan,1,620,1,25
Paud Road,2,1210,2,75
Pirangut,3,1000,3,90
Prabhat Road,3,1500,2,99
Pune Railway Station,4,1800,3,190
Rasta Peth,2,1185,2,43.66
Raviwar Peth,3,1600,3,130
Sadashiv Peth,2,1100,2,28
Sahakar Nagar,2,1300,2,69.23
Salunke Vihar,2,1100,2,68
Sasson Road,2,860,2,28.93
Satara Road,2,1007,2,64
Senapati Bapat Road,2,1100,2,48
Shaniwar Peth,2,1187,2,38
Shivaji Nagar,2,1150,2,72
Shukrawar Peth,3,2400,3,252
Sinhagad Road,2,1180,2,41.94
Somwar Peth,3,1820,3,85.2
Vadgaon Budruk,3,1430,3,70
Wadgaon Sheri,2,700,2,40
Viman Nagar,2,1200,1,70
Vishrant Wadi,2,1165,2,40.77
Wagholi,3,1569,3,118
Wakadewadi,3,1950,4,95
Wanowrie,2,1200,3,70
Warje,3,2437,3,125
Yerawada,2,950,2,46.7
Alandi Road,3,1685,3,115
Anandnagar,2,1314,2,110
Aundh,3,1250,3,40
Aundh Road,2,1130,2,68
Balaji Nagar,6,1200,9,122
Bhandarkar Road,3,2247,3,145
Bhavani Peth,3,1550,3,85
Bibvewadi,3,1715,2,100
Bopodi,2,1053,2,53
Budhwar Peth,3,1200,3,50
Camp,5,2400,4,97
Chandan Nagar,2,1245,1,60
Dehu Road,3,1241,2,65
Dhole Patil Road,2,1090,2,57
Erandwane,3,1390,2,50
Ganesh Peth,3,1100,2,52.97
Ganeshkhind,2,1350,2,103
Ghorpade Peth,2,800,2,55
Ghorpadi,3,1787,3,116
Gokhale Nagar,3,2400,3,220
Guruwar peth,3,1691,3,93.01
Hadapsar,4,2119,4,111
Hadapsar Industrial Estate,3,2325,3,95
Jangali Maharaj Road,3,1896,3,102
Kalyani Nagar,3,1540,3,48.51
Karve Nagar,2,1244,2,95
Karve Road,3,1365,2,65
Kasba Peth,1,580,1,27.5
Katraj,3,1355,3,83.87
Khadki,2,1513,2,62
Kharadi,2,1175,2,41.13
Kondhwa,3,2087,4,139
Kondhwa Budruk,3,2273,3,145
Kondhwa Khurd,3,2050,3,150
Koregaon Park,2,1200,2,75
Kothrud,2,1190,2,59
Laxmi Road,2,1019,2,49.86
Lulla Nagar,3,1830,3,133
Mangalwar peth,2,1028,2,56
Manik Bagh,2,1300,2,100
Market yard,2,1160,2,67
Model colony,3,1505,3,78
Mukund Nagar,2,1250,2,55.55
Nagar Road,2,1175,2,41.68
Nana Peth,2,1100,2,57.6
Narayan Peth,3,2159,3,120
Narayangaon,2,1230,2,56.45
Pashan,1,1200,1,48
Paud Road,2,1340,2,71
Pirangut,3,1750,2,89
Prabhat Road,2,1400,2,100
Pune Railway Station,3,1350,3,60
Rasta Peth,3,1675,3,62
Raviwar Peth,2,1340,2,66.33
Sahakar Nagar,2,1276,2,76
Salunke Vihar,3,1738,2,76
Sasson Road,2,1190,2,59.9
Satara Road,2,1128,2,65.45
Senapati Bapat Road,2,1250,2,55
Shaniwar Peth,2,1450,2,90
Shivaji Nagar,2,1084,2,53
Shukrawar Peth,4,2150,4,90
Swargate,2,1250,2,65
Tilak Road,3,2400,4,240
Uruli Devachi,3,1304,3,65
Wadgaon Sheri,2,980,2,77.44
Viman Nagar,2,1275,2,49.5
Wagholi,3,2500,4,140
Wanowrie,3,2400,4,95
Yerawada,3,1450,2,70.18
Alandi Road,2,890,2,40
Ambegaon Budruk,2,1340,2,85
Anandnagar,3,1100,2,75
Aundh,2,750,2,40
Balaji Nagar,2,1300,2,66
Baner,2,1301,2,120
Bhandarkar Road,3,1900,2,92
Bhavani Peth,2,1299,2,105
Bibvewadi,3,1250,3,40
Budhwar Peth,2,925,2,55
Camp,2,1107,2,45
Dapodi,2,1300,2,67
Deccan Gymkhana,2,570,2,62
Dehu Road,3,1715,3,95
Dhankawadi,2,1200,2,55
Dhole Patil Road,2,703,2,60
Erandwane,2,921,2,29.47
Fatima Nagar,2,1144,2,65
Fergusson College Road,1,525,1,26.01
Ganesh Peth,3,1400,2,56
Ganeshkhind,1,661,1,33
Ghorpadi,5,1200,5,70
Gokhale Nagar,3,1705,3,91
Guruwar peth,3,1430,2,55
Hadapsar,2,1240,2,55
Hadapsar Industrial Estate,3,1325,2,60.8
Hingne Khurd,2,1230,2,44
Jangali Maharaj Road,2,1000,2,28
Kalyani Nagar,4,740,2,24.5
Karve Nagar,3,1330,2,46.45
Katraj,2,1243,2,46
Khadaki,4,936,2,60.84
Khadki,3,1500,2,100
Kondhwa,2,1073,2,72
Kondhwa Budruk,2,1300,2,56
Koregaon Park,2,1065,2,30.75
Kothrud,2,1216,2,66.88
Law College Road,3,1252,3,59
Laxmi Road,2,1196,2,44.8
Lulla Nagar,2,1027,2,44
Mangalwar peth,3,1270,2,57.15
Manik Bagh,2,1171,2,39
Market yard,3,1215,2,48.6
Model colony,1,600,1,20
Mukund Nagar,2,1180,2,77
Mundhawa,2,1160,2,33.51
Nana Peth,3,2140,3,139
Narayan Peth,3,1500,3,100
Narayangaon,2,1008,2,52
Navi Peth,3,1921,4,129
Padmavati,2,1127,2,32
Parvati Darshan,3,1621,3,124
Paud Road,3,1030,2,77.25
Pirangut,2,1314,2,84
Prabhat Road,3,1220,3,56
Rasta Peth,3,1590,2,85
Raviwar Peth,2,703,2,49.5
Sadashiv Peth,3,1795,3,64.62
Sasson Road,2,825,2,35
Senapati Bapat Road,3,1254,2,70
Shaniwar Peth,3,2040,3,114
Shivaji Nagar,3,2215,4,154
Shukrawar Peth,2,1478,2,125
Swargate,3,1820,3,79.5
Tilak Road,3,1623,3,89
Uruli Devachi,2,1243,2,46
Vadgaon Budruk,2,1200,2,40.5
Wadgaon Sheri,3,1613,3,72
Viman Nagar,2,1293,2,80
Vishrant Wadi,2,1065,2,28.5
Wagholi,2,940,2,69.57
Wakadewadi,3,1181,2,65
Warje,1,1100,2,75
Yerawada,2,1050,2,36
Alandi Road,3,1260,2,75
Anandnagar,3,1500,3,56
Aundh,6,1200,6,132
Aundh Road,2,1000,2,66
Balaji Nagar,3,1530,3,73
Baner,2,1140,2,46
Baner road,3,1864,3,115
Bhandarkar Road,3,1575,3,55
Bhavani Peth,3,1200,3,105
Bibvewadi,2,945,2,45
Bopodi,3,1691,3,100
Bund Garden Road,3,1220,3,35.25
Camp,1,600,1,35
Chandan Nagar,2,1160,2,39
Dapodi,3,1950,2,89.5
Deccan Gymkhana,3,1650,3,85
Dehu Road,4,2400,4,150
Dhankawadi,2,795,1,32.6
Dhole Patil Road,5,1400,5,97
Erandwane,3,2285,4,165
Fatima Nagar,2,1243,2,46
Fergusson College Road,2,1263,2,51.5
Ganesh Peth,5,1200,4,115
Ganeshkhind,3,1345,2,69
Ghorpadi,3,1360,2,58
Gokhale Nagar,2,1026,2,60.55
Gultekdi,2,1050,2,38
Guruwar peth,3,1460,3,76
Hadapsar,3,1525,2,91.48
Hadapsar Industrial Estate,3,1843,3,85
Hingne Khurd,2,1000,2,25
Jangali Maharaj Road,3,1642,2,115
Kalyani Nagar,3,1200,2,66
Karve Nagar,2,975,2,60
Karve Road,3,1075,2,44
Kasba Peth,2,1210,2,77.93
Katraj,3,2000,3,100
Khadaki,2,1225,2,68
Khadki,2,1290,2,80.04
Kharadi,2,1220,2,56
Kondhwa,1,1500,2,85
Kondhwa Budruk,2,1361,2,79
Koregaon Park,2,1394,2,85
Kothrud,2,870,2,27
Laxmi Road,2,1222,2,98
Lulla Nagar,2,1420,2,99.39
Mahatma Gandhi Road,3,1846,3,135
Manik Bagh,2,1167,2,64.08
Market yard,2,902,2,25
Model colony,4,2422,4,135
Mukund Nagar,2,1050,2,52.5
Mundhawa,2,1000,2,50
Nagar Road,2,1260,2,58
Narayan Peth,2,939,2,39
Narayangaon,9,1590,6,150
Navi Peth,1,600,1,37
Padmavati,2,1298,2,59
Parvati Darshan,3,1710,3,135
Pashan,2,1000,2,45
Prabhat Road,2,1100,2,68
Pune Railway Station,1,615,1,46
Rasta Peth,2,1350,2,85
Salunke Vihar,3,1718,3,130
Sasson Road,3,1680,3,112
Satara Road,2,1500,2,90
Senapati Bapat Road,3,1157,2,72
Shaniwar Peth,2,1179,2,51
Shivaji Nagar,2,1315,2,60.48
Shukrawar Peth,2,1105,2,28.18
Sinhagad Road,3,1800,3,175
Somwar Peth,2,1010,2,52
Swargate,1,630,1,46
Tilak Road,2,1200,2,36.1
Uruli Devachi,2,1025,2,60
Vadgaon Budruk,2,1195,2,59
Wadgaon Sheri,2,1012,2,58
Viman Nagar,3,1884,4,118
Vishrant Wadi,2,1090,2,37
Wagholi,3,1300,3,77.99
Wanowrie,3,1710,3,85
Warje,3,1500,3,68
Yerawada,3,1310,2,53
Alandi Road,2,674,1,19.9
Ambegaon Budruk,3,1350,3,70
Anandnagar,3,1464,2,115
Aundh,3,715,2,29
Aundh Road,3,1400,2,40.45
Balaji Nagar,3,1625,2,48.75
Baner,2,1065,2,30.76
Bhandarkar Road,3,1385,3,90
Bhavani Peth,2,1040,2,50
Bibvewadi,3,1817,3,110
Bopodi,2,1205,2,47
Budhwar Peth,2,1070,2,33.43
Bund Garden Road,2,1070,2,52
Camp,2,1340,2,75
Chandan Nagar,2,980,2,35
Dapodi,2,1006,2,44
Deccan Gymkhana,2,1098,2,71
Dehu Road,2,1200,2,53.5
Dhayari Phata,2,1019,2,62
Dhole Patil Road,2,1150,2,40.21
Erandwane,3,1733.5,3,120
Fatima Nagar,2,1415,2,120
Fergusson College Road,3,1750,3,58
Ganesh Peth,3,1537,3,81
Ganeshkhind,2,1050,2,45
Ghorpade Peth,3,1452,3,55.6
Ghorpadi,2,1246,2,95
Gokhale Nagar,3,1890,4,85
Gultekdi,2,972,2,40
Hadapsar,4,1500,5,160
Hadapsar Industrial Estate,1,630,1,33.7
Hingne Khurd,8,1050,5,80
Jangali Maharaj Road,3,1255,2,60
Kalyani Nagar,4,1900,4,185
Karve Nagar,3,2440,3,142
Karve Road,3,1938,3,92.69
Kasba Peth,3,1711,3,125
Khadaki,2,1392,2,95
Khadki,2,1225,2,77
Kondhwa,3,1750,3,120
Kondhwa Budruk,3,1260,2,80
Kondhwa Khurd,1,691,1,31.1
Kothrud,2,1285,2,78
Law College Road,3,1590,3,96
Laxmi Road,3,1571,3,65
Mahatma Gandhi Road,2,1060,2,48.66
Mangalwar peth,2,1255,2,58
Manik Bagh,4,702,4,65
Market yard,3,2400,2,185
Model colony,3,1520,2,81
Mukund Nagar,3,1530,2,70.99
Mundhawa,2,1170,2,45.51
Nagar Road,3,1580,3,75
Nana Peth,3,1777.26,3,89
Narayan Peth,2,1303,2,55.78
Narayangaon,2,1680,2,59
Navi Peth,3,1495,2,70
Padmavati,3,1835,3,108
Parvati Darshan,3,610,3,60
Pashan,2,1080,2,38
Paud Road,2,1025,2,29.61
Pirangut,2,1225,2,67.48
Prabhat Road,1,656,1,34.77
Pune Railway Station,2,994,2,45
Rasta Peth,2,1025,2,65
Raviwar Peth,2,1156,2,52
Sadashiv Peth,2,1250,2,60
Salunke Vihar,3,1930,4,122
Sasson Road,2,1020,2,70
Satara Road,3,1310,2,70
Senapati Bapat Road,1,612.5,1,27.565
Shaniwar Peth,2,1322,2,70
Shivaji Nagar,2,1160,2,57
Shukrawar Peth,2,1100,2,48
Sinhagad Road,3,1720,3,150
Somwar Peth,3,1689,3,103
Swargate,2,1090,2,47.42
Tilak Road,2,2000,2,75
Uruli Devachi,2,1155,2,69
Vishrant Wadi,2,1125,2,39.98
Wagholi,3,1847,3,92
Wakadewadi,3,1515,2,76
Warje,5,2500,3,120
Yerawada,2,1130,2,55
Alandi Road,2,1049,2,51
Anandnagar,2,850,2,25.4
Aundh,3,1842,3,115
Balaji Nagar,2,1282,2,72
Baner,2,800,2,40
Bhandarkar Road,3,1190,2,30.35
Bhavani Peth,3,1318,2,68
Bibvewadi,2,1698,2,105
Bopodi,3,2030,2,182
Budhwar Peth,3,1276,2,31.9
Bund Garden Road,3,1555,2,67
Camp,3,1881,3,145
Dapodi,3,1890,3,109
Dehu Road,2,935,2,32
Dhankawadi,2,1000,2,58
Dhayari Phata,3,1510,3,75
Dhole Patil Road,2,1120,2,50
Erandwane,2,930,2,25.99
Fatima Nagar,3,1160,2,42
Fergusson College Road,2,1419,2,48.1
Ganesh Peth,2,1175,2,62
Ganeshkhind,3,1350,2,63
Ghorpadi,2,996,2,24.9
Gokhale Nagar,2,1076,2,30.13
Gultekdi,4,2180,4,115
Guruwar peth,3,1715,3,112
Hadapsar,2,1072,2,45
Hadapsar Industrial Estate,2,1230,2,80
Hingne Khurd,3,1600,2,65
Jangali Maharaj Road,3,1411,3,93.25
Karve Nagar,3,2404,3,138
Katraj,3,1208,3,45
Khadki,2,1225,2,69.84
Kharadi,2,1162,2,69
Kondhwa,3,1262,2,65
Kondhwa Budruk,2,1050,2,35
Kondhwa Khurd,2,1160,2,33.51
Koregaon Park,3,1500,3,61.95
Kothrud,3,1610,3,85
Law College Road,2,1340,2,41
Laxmi Road,3,2275,4,182
Lulla Nagar,2,1162,2,58
Mahatma Gandhi Road,2,1500,2,145
Manik Bagh,2,1170,2,65
Market yard,2,980,2,25
Model colony,3,1800,3,60
Mukund Nagar,3,1423,2,71.73
Mundhawa,2,1106,2,40
Nagar Road,2,1105,2,27.6
Narayan Peth,2,1255,2,56.7
Narayangaon,3,1525,2,65
Navi Peth,2,1061,2,38.95
Padmavati,2,600,2,29.5
Parvati Darshan,3,1400,2,40.45
Pashan,3,2100,3,145
Paud Road,2,660,1,16.5
Pirangut,2,633,1,18
Prabhat Road,2,1260,2,120
Pune Railway Station,2,907,2,55.43
Rasta Peth,3,2047,3,67.55
Sadashiv Peth,2,1211,2,63
Sahakar Nagar,3,1904,3,129
Salunke Vihar,2,1205,2,73.87
Sasson Road,2,1164,2,64.08
Satara Road,2,1410,2,73
Senapati Bapat Road,2,1150,2,42
Shaniwar Peth,2,1170,2,53.11
Shivaji Nagar,2,1420,2,62
Shukrawar Peth,2,1125,2,45
Sinhagad Road,3,1789,3,75
Somwar Peth,2,1021,2,76
Swargate,2,1074,2,26.85
Tilak Road,2,1222,2,48
Uruli Devachi,3,1981,3,134
Vadgaon Budruk,2,1103,2,55
Wadgaon Sheri,2,1201,2,65
Viman Nagar,2,970,2,36
Vishrant Wadi,2,920,2,33
Wagholi,3,1520,3,85
Wanowrie,3,1268,2,75
Warje,1,660,1,30
Yerawada,3,1755,3,115
Alandi Road,2,945,2,35
Ambegaon Budruk,1,500,1,33
Aundh,4,1632,3,140
Aundh Road,2,1167,2,37.5
Balaji Nagar,2,1276,2,80
Baner,2,1234,2,51
Baner road,2,1180,2,75
Bhandarkar Road,3,1370,2,87
Bhavani Peth,2,1015,2,25.88
Bopodi,3,1400,3,90
Budhwar Peth,5,1500,6,155
Bund Garden Road,2,1050,2,40
Camp,2,1251,2,46
Chandan Nagar,3,1677,3,92.13
Dapodi,2,1346,2,67.38
Deccan Gymkhana,2,1090,2,31.48
Dhankawadi,3,1290,2,51.1
Dhole Patil Road,3,1881,3,145
Erandwane,2,1150,2,52
Ganesh Peth,3,1200,2,42
Ganeshkhind,2,1276,2,40
Ghorpadi,2,950,2,65
Gokhale Nagar,3,1491,3,40.5
Gultekdi,2,1050,2,51.66
Guruwar peth,3,1660,3,131
Hadapsar,2,1134,2,55
Hadapsar Industrial Estate,2,1100,2,60
Hingne Khurd,4,800,4,60
Jangali Maharaj Road,2,1200,2,36.1
Karve Nagar,3,980,3,80
Karve Road,2,1080,2,37.8
Kasba Peth,1,705,2,50
Katraj,3,1200,2,35
Khadaki,2,1200,2,50
Khadki,3,1804,3,127
Kharadi,2,750,2,20
Kondhwa,2,420,1,25
Kondhwa Khurd,2,1090,2,38.37
Kothrud,3,1287,3,55
Law College Road,3,2215,4,157
Lulla Nagar,2,1045,2,42.15
Mahatma Gandhi Road,2,1263,2,47.36
Mangalwar peth,3,1431,3,85
Manik Bagh,2,999,2,32.9
Market yard,3,1650,3,85.5
Model colony,3,1535,3,72
Mukund Nagar,4,2524,5,180
Mundhawa,3,1300,3,69
Nana Peth,3,2095,3,150
Narayan Peth,1,284,1,8
Narayangaon,1,500,1,14
Navi Peth,2,1265,2,68
Padmavati,2,1215,2,44.96
Parvati Darshan,2,2200,2,180
Pashan,2,1028,2,51
Paud Road,3,1835,2,92
Pirangut,3,1800,3,65
Prabhat Road,3,2077,3,175
Raviwar Peth,2,708,2,31.15
Sadashiv Peth,2,1200,2,120
Sahakar Nagar,2,925,2,46.25
Sasson Road,1,458,1,33.66
Shivaji Nagar,3,1450,2,90
Shukrawar Peth,2,1100,2,65
Sinhagad Road,2,1185,2,55
Somwar Peth,4,1900,4,80
Swargate,2,1200,2,70
Tilak Road,1,660,1,35
Uruli Devachi,3,1920,4,121
Vadgaon Budruk,2,1200,2,130
Vishrant Wadi,2,1205,2,68.32
Wagholi,2,1200,2,46
Wakadewadi,3,1421,2,73
Wanowrie,3,1250,3,48.9
Warje,1,524,1,29
Alandi Road,3,1540,3,90
Ambegaon Budruk,2,984,2,45.91
Anandnagar,2,985,2,50.17
Aundh Road,2,1140,2,60
Baner,3,1410,2,44.42
Baner road,3,1700,2,86
Bhandarkar Road,2,1360,2,62.425
Bibvewadi,2,1333,2,86.65
Bopodi,2,1258,2,85.5
Budhwar Peth,3,1458,2,87
Bund Garden Road,2,1386,2,85
Camp,2,1140,2,32.92
Chandan Nagar,1,550,1,27
Dapodi,2,1200,2,83
Deccan Gymkhana,2,1081,2,39
Dehu Road,4,2135,3,149
Dhankawadi,4,2500,4,100
Dhayari Phata,2,1178,2,80
Dhole Patil Road,2,991,2,40
Erandwane,3,1493,2,90
Fatima Nagar,3,2495,3,130
Fergusson College Road,2,1080,2,31.99
Ganesh Peth,2,814,2,53
Ganeshkhind,2,1025,2,50
Ghorpade Peth,2,1115,2,61
Gokhale Nagar,7,1900,3,162
Gultekdi,3,1760,3,160
Hingne Khurd,2,1175,2,52.86
Kalyani Nagar,2,1100,2,45
Karve Road,2,1450,2,50.75
Kasba Peth,3,1810,3,131
Katraj,3,1426,2,71
Khadaki,3,2400,2,195
Khadki,2,1100,2,70
Kharadi,1,650,1,35
Kondhwa,3,1350,3,47.25
Kondhwa Budruk,2,900,2,27
Kondhwa Khurd,2,1360,2,110
Koregaon Park,1,674,1,36.85
Kothrud,3,1655,3,110
Law College Road,2,1300,2,95
Laxmi Road,1,936,1,53
Lulla Nagar,2,1277,2,92
Mahatma Gandhi Road,2,1200,2,54
Mangalwar peth,2,1015,2,39.08
Manik Bagh,2,1153,2,60
Market yard,2,1035,2,51.5
Mukund Nagar,2,1150,2,46
Mundhawa,2,1020,2,80
Nana Peth,2,1160,2,95
Narayan Peth,3,1075,2,31
Narayangaon,2,1225,2,72
Padmavati,2,1600,2,160
Pashan,3,1350,3,60
Paud Road,3,1300,3,69
Pirangut,2,830,2,36.28
Prabhat Road,2,1155,2,69.18
Rasta Peth,2,905,2,55
Raviwar Peth,3,1375,2,75
Sadashiv Peth,2,1575,2,31.11
Sahakar Nagar,2,1140,2,33.84
Salunke Vihar,3,1550,2,60
Sasson Road,2,957,2,55
Satara Road,2,890,2,45
Shaniwar Peth,2,1070,2,55
Shivaji Nagar,5,2400,5,150
Sinhagad Road,2,925,2,37
Somwar Peth,2,1415,2,60
Tilak Road,2,1225,2,37
Uruli Devachi,4,2000,4,90
Vadgaon Budruk,1,840,1,57
Viman Nagar,3,1732,3,112
Vishrant Wadi,1,1200,1,45
Wagholi,2,1260,2,69.9
Wakadewadi,2,1092,2,49
Wanowrie,2,827,2,34
Warje,2,1357,2,54
Yerawada,2,650,1,40
Alandi Road,3,1370,2,54.79
Ambegaon Budruk,3,1725,3,106
Anandnagar,2,1000,2,70
Aundh,1,1350,1,55
Balaji Nagar,3,1717,3,110
Baner,2,700,2,34
Baner road,2,800,2,32
Bhavani Peth,3,1415,2,65
Bibvewadi,3,1976,3,145
Bopodi,2,883,2,37.01
Budhwar Peth,1,700,1,38
Bund Garden Road,3,1445,3,50
Camp,3,2082,3,104
Chandan Nagar,2,1140,2,46
Dapodi,2,933,2,66
Dehu Road,2,1155,2,57
Dhankawadi,2,1130,2,36
Dhayari Phata,2,1200,2,73.2
Dhole Patil Road,2,1055,2,43
Erandwane,3,1555,3,125
Fatima Nagar,3,1420,3,62
Ganesh Peth,1,658,1,26.91
Ganeshkhind,2,896.9,2,78.74
Ghorpadi,2,1035,2,40
Gokhale Nagar,4,2064,5,225
Gultekdi,3,1839,3,160
Guruwar peth,2,1200,2,44
Hadapsar,1,488,1,20
Jangali Maharaj Road,2,993,2,42
Kalyani Nagar,2,1225,2,45
Karve Nagar,2,900,2,55
Kasba Peth,2,825,2,32
Khadki,3,1800,3,92
Kharadi,2,925,2,100
Kondhwa,2,1167,2,63
Kondhwa Budruk,2,1150,2,41
Kondhwa Khurd,1,650,1,50
Koregaon Park,1,675,1,27
Kothrud,2,2260,3,90
Law College Road,1,720,1,32.39
Lulla Nagar,2,1100,2,58
Mahatma Gandhi Road,2,550,1,20
Mangalwar peth,3,1330,2,58
Market yard,3,1685,4,185
Model colony,6,2400,5,75
Mukund Nagar,3,1770,3,108
Mundhawa,3,2100,3,125
Nagar Road,2,1000,2,42
Narayangaon,3,1419.59,2,65
Navi Peth,3,1400,3,81
Padmavati,2,750,2,37.49
Parvati Darshan,2,1070,2,87
Pashan,3,1536,3,107
Pirangut,3,2400,3,196
Prabhat Road,3,1773.5,2,102.92
Pune Railway Station,2,1342,2,72
Rasta Peth,3,1600,3,130
Raviwar Peth,1,938,1,50
Sadashiv Peth,3,1820,3,99
Sahakar Nagar,4,2439,4,170
Salunke Vihar,3,1665,3,78
Sasson Road,3,1850,3,150
Satara Road,2,1091,2,40
Senapati Bapat Road,2,1346,2,74.03
Shukrawar Peth,2,1060,2,33.95
Sinhagad Road,2,1059,2,57
Somwar Peth,2,1299,2,97
Swargate,3,1491,3,85
Tilak Road,2,1200,2,85
Uruli Devachi,4,2088,5,110
Vadgaon Budruk,1,581,1,29
Wadgaon Sheri,2,1296,2,70
Viman Nagar,2,1125,2,55
Vishrant Wadi,3,1275,3,70
Wagholi,2,1095,2,55
Wanowrie,2,1330,2,74
Warje,2,1135,2,60
Yerawada,1,516,1,39
Alandi Road,2,1194,2,51
Ambegaon Budruk,5,2250,5,240
Anandnagar,2,770,1,38
Aundh Road,3,1355,3,54.2
Bhandarkar Road,2,1116,2,51.91
Bhavani Peth,3,1707,3,115
Bopodi,2,1070,2,49
Bund Garden Road,3,1240,2,83
Camp,2,1300,2,91.65
Chandan Nagar,2,1700,2,76
Dapodi,3,1383,2,76.18
Dehu Road,2,1200,2,34.65
Dhankawadi,2,935,2,45
Dhayari Phata,3,2072,4,151
Dhole Patil Road,4,2200,3,225
Erandwane,1,615,1,46
Fatima Nagar,2,1116,2,45
Fergusson College Road,3,1639,3,107
Ganesh Peth,3,1839,3,130
Ganeshkhind,2,1300,2,63
Ghorpade Peth,1,625,1,27
Ghorpadi,1,933,1,61
Gokhale Nagar,3,2289,3,180
Gultekdi,3,2316,3,125
Guruwar peth,2,1005,2,39.77
Hadapsar,2,1080,2,38
Hingne Khurd,2,910,2,36
Jangali Maharaj Road,2,1200,2,73
Kalyani Nagar,2,1110,2,39.9
Karve Nagar,2,1142,2,56
Katraj,2,1005,2,55
Khadaki,3,1626.6,3,133
Khadki,2,1074,2,54
Kharadi,2,1230,2,80
Kondhwa,2,660,1,23
Kondhwa Budruk,2,1007,2,48
Kondhwa Khurd,4,1050,6,74
Koregaon Park,3,1820,3,113
Kothrud,2,1100,2,60
Law College Road,2,1348,2,100
Laxmi Road,2,1230,2,66.25
Lulla Nagar,3,1176,2,37.62
Mahatma Gandhi Road,3,1590,3,57
Mangalwar peth,2,1200,2,78
Manik Bagh,2,1298,2,65
Market yard,2,1161,2,55.15
Mundhawa,2,1285,2,60
Nagar Road,3,1644,3,92.59
Nana Peth,3,1819,3,150
Narayan Peth,2,1205,2,85
Navi Peth,2,1050,2,42
Padmavati,2,1270,2,62
Parvati Darshan,3,1240,2,39.89
Pashan,3,1221,3,70
Paud Road,3,840,2,35
Pirangut,2,1339,2,63
Pune Railway Station,2,1315,2,85
Rasta Peth,2,1250,2,68
Raviwar Peth,2,850,2,27
Sadashiv Peth,3,1600,2,110
Sahakar Nagar,2,1250,2,62
Salunke Vihar,3,1312,2,56.5
Satara Road,2,1300,2,28
Senapati Bapat Road,3,1990,3,98
Shaniwar Peth,2,760,2,38.5
Shukrawar Peth,3,1614,2,59
Sinhagad Road,4,1500,3,162
Somwar Peth,3,1182,2,60.1
Swargate,2,1053,2,46.29
Uruli Devachi,3,2000,3,125
Vadgaon Budruk,3,1940,4,116
Wadgaon Sheri,3,1590,3,105
Viman Nagar,2,1035,2,52.79
Vishrant Wadi,2,1075,2,53
Wagholi,2,900,2,55
Wakadewadi,3,1260,2,62
Warje,3,1702,3,107
Yerawada,3,1080,2,65
Alandi Road,2,1189,2,45
Ambegaon Budruk,2,1035,2,39
Anandnagar,2,1200,2,36
Balaji Nagar,3,1300,3,69
Baner,2,1330,2,93.65
Baner road,3,1210,2,65
Bhandarkar Road,3,1350,2,54.2
Bhavani Peth,3,1900,2,65
Bibvewadi,3,1935,4,125
Bopodi,3,1410,3,90
Budhwar Peth,2,1469,2,99.14
Bund Garden Road,2,986,2,30
Camp,3,1460,2,87
Chandan Nagar,3,1260,2,85.05
Dapodi,3,1345,2,39.5
Deccan Gymkhana,2,980,2,57
Dehu Road,2,1164,2,75
Dhankawadi,2,929,1,51
Dhayari Phata,2,1065,2,70
Dhole Patil Road,2,1172,2,56.725
Fatima Nagar,2,1020,2,30.27
Fergusson College Road,3,1362,3,62.63
Ganesh Peth,1,672,1,36.85
Ganeshkhind,3,1746,3,115
Ghorpade Peth,2,1025,2,29.6
Ghorpadi,2,1532,2,65
Gokhale Nagar,3,1200,2,120
Gultekdi,2,1250,2,65
Guruwar peth,2,1188,2,39
Hadapsar Industrial Estate,2,1170,2,85
Hingne Khurd,3,1800,3,150
Jangali Maharaj Road,2,1000,2,35
Karve Road,4,2507,4,155
Kasba Peth,2,1061,2,34
Katraj,2,1290,2,69
Khadaki,2,1200,2,42.6
Khadki,2,1120,2,39.29
Kharadi,1,418,1,12
Kondhwa,3,1333,3,50
Kondhwa Budruk,3,1691,3,119
Kondhwa Khurd,1,747,1,34.355
Kothrud,3,2030,4,125
Law College Road,2,1012,2,70
Laxmi Road,3,1245,2,60
Lulla Nagar,3,1765,3,118
Mahatma Gandhi Road,2,1110,2,36.25
Mangalwar peth,2,967,2,47.8
Manik Bagh,2,1044,2,36
Market yard,3,1518,3,80
Model colony,3,1300,2,57
Mukund Nagar,3,1798,3,73
Mundhawa,2,866.28,2,36.38
Nana Peth,2,1179,2,56
Narayangaon,2,1125,2,48
Navi Peth,3,2098,3,210
Parvati Darshan,3,1976,3,92
Pashan,2,1190,2,61.8
Paud Road,3,1800,3,192
Pirangut,3,1761,3,84.52
Prabhat Road,3,1700,3,120
Pune Railway Station,4,900,4,70
Rasta Peth,2,1128,2,64.8
Raviwar Peth,3,2000,3,85
Sadashiv Peth,3,1220,2,35.25
Sahakar Nagar,1,509,1,20
Salunke Vihar,3,1852,4,122
Sasson Road,2,1045,2,40.65
Senapati Bapat Road,2,1102,2,53.67
Shaniwar Peth,4,1800,3,82
Shivaji Nagar,3,1436,2,75
Shukrawar Peth,3,1397,2,52
Sinhagad Road,2,1140,2,56
Somwar Peth,1,645,1,55
